Id,Title,Difficulty,Total_Accept,Total_Submit,Acceptance,Preimum
94,Binary Tree Inorder Traversal,Easy,1992554,2694592,0.7394640821319146,False
95,Unique Binary Search Trees II,Medium,352713,671057,0.5256081078060433,False
96,Unique Binary Search Trees,Medium,570015,953797,0.597627168045192,False
97,Interleaving String,Medium,375575,1004559,0.3738705242798084,False
98,Validate Binary Search Tree,Medium,1912857,5967881,0.32052532548822604,False
99,Recover Binary Search Tree,Medium,392397,767104,0.5115303791923911,False
100,Same Tree,Easy,1518213,2601936,0.5834935986127253,False
101,Symmetric Tree,Easy,1632630,2997795,0.5446102885620931,False
102,Binary Tree Level Order Traversal,Medium,1770272,2742387,0.645522313225668,False
103,Binary Tree Zigzag Level Order Traversal,Medium,953630,1672491,0.5701854299963348,False
104,Maximum Depth of Binary Tree,Easy,2319503,3135451,0.7397669426184622,False
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,961589,1558650,0.6169370929971449,False
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,524430,872194,0.6012767801658805,False
107,Binary Tree Level Order Traversal II,Medium,576187,939551,0.6132578220873588,False
108,Convert Sorted Array to Binary Search Tree,Easy,988802,1412942,0.69981782691717,False
109,Convert Sorted List to Binary Search Tree,Medium,474913,787208,0.6032878222782289,False
110,Balanced Binary Tree,Easy,1100263,2234078,0.49249086200213243,False
111,Minimum Depth of Binary Tree,Easy,934172,2094047,0.4461084206801471,False
112,Path Sum,Easy,1167787,2413005,0.48395548289373624,False
113,Path Sum II,Medium,742481,1298377,0.571853167454445,False
114,Flatten Binary Tree to Linked List,Medium,770439,1243200,0.6197224903474904,False
115,Distinct Subsequences,Hard,292248,654366,0.44661244624567903,False
116,Populating Next Right Pointers in Each Node,Medium,920441,1518920,0.6059838569509914,False
117,Populating Next Right Pointers in Each Node II,Medium,545699,1083302,0.5037367234621555,False
118,Pascal's Triangle,Easy,1217159,1713720,0.7102437971197162,False
119,Pascal's Triangle II,Easy,675504,1108311,0.6094895746771438,False
120,Triangle,Medium,588065,1076969,0.5460370725619772,False
121,Best Time to Buy and Sell Stock,Easy,3297896,6076180,0.5427581144732381,False
122,Best Time to Buy and Sell Stock II,Medium,1428506,2231617,0.6401214903811899,False
123,Best Time to Buy and Sell Stock III,Hard,477107,1045316,0.45642370345426647,False
124,Binary Tree Maximum Path Sum,Hard,969597,2470193,0.39251872222130013,False
125,Valid Palindrome,Easy,1917383,4306015,0.4452801488150877,False
126,Word Ladder II,Hard,341590,1242680,0.2748817072778189,False
127,Word Ladder,Hard,907063,2434543,0.3725803980459577,False
128,Longest Consecutive Sequence,Medium,1103817,2280028,0.48412431777153614,False
129,Sum Root to Leaf Numbers,Medium,608866,995832,0.6114143751154814,False
130,Surrounded Regions,Medium,531957,1440495,0.36928764070684034,False
131,Palindrome Partitioning,Medium,639890,984195,0.6501658716006482,False
132,Palindrome Partitioning II,Hard,241098,713085,0.3381055554386924,False
133,Clone Graph,Medium,979311,1838827,0.532573754899183,False
134,Gas Station,Medium,585794,1270487,0.4610783109154206,False
135,Candy,Hard,306265,745308,0.4109240743424195,False
136,Single Number,Easy,2159051,3048468,0.7082413199023248,False
137,Single Number II,Medium,411589,702021,0.5862915781721629,False
138,Copy List with Random Pointer,Medium,944899,1833590,0.5153273087222334,False
139,Word Break,Medium,1326425,2907804,0.45616038770150946,False
140,Word Break II,Hard,513222,1129894,0.4542213694381951,False
141,Linked List Cycle,Easy,2034416,4274607,0.47593053583639383,False
142,Linked List Cycle II,Medium,1057279,2158116,0.4899083274485709,False
143,Reorder List,Medium,665161,1259352,0.5281771895387469,False
144,Binary Tree Preorder Traversal,Easy,1313554,1959011,0.6705189506337637,False
145,Binary Tree Postorder Traversal,Easy,953088,1397700,0.6818974028761536,False
146,LRU Cache,Medium,1299749,3190718,0.4073531412052084,False
147,Insertion Sort List,Medium,322952,630605,0.5121304144432728,False
